Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,2020,1,72.09,100,55.56,100,64.5,46.5,64.5,24,22.5,0,3,3,46,494,3274.88865,92,225,34,2,2,2
0,1,2020,1,57.5,17.65,86.96,100,60,34.5,34.5,4.5,21,0,3,3,24,119,901.30165,19,144,17,1,2,1
0,1,2019,1,77.5,100,55,100,60,46.5,60,30,16.5,0,4,4,1,4,47.12435,1,11,1,2,1,1
0,1,2020,1,100,100,100,100,63,63,63,30,33,0,2,3,40,529,3502.964633,71,107,30,3,2,2
0,1,2020,1,35,20,50,100,60,21,21,6,15,0,3,3,31,239,3027.5387,74,135,24,0,2,1
0,1,2019,0,59.18,100,31.03,100,73.5,43.5,52.5,30,13.5,0,4,4,29,830,2319.177933,73,1,25,1,2,2
0,1,2021,1,100,100,100,100,60,60,62.5,30,30,0,2,2,50,280,3146.409167,67,167,34,3,2,1
0,1,2020,1,100,100,100,100,60,60,60,33,27,0,3,3,49,853,3695.411667,86,170,37,3,2,1
0,1,2021,1,100,100,100,90.90909091,60,60,60,30,30,0,2,2,55,313,4813.4934,103,113,47,3,2,1
0,1,2022,1,0,0,0,,60,0,0,0,0,0,1,1,31,123,1817.75385,41,12,24,0,2,1
0,1,2019,1,100,100,100,100,66,66,66,15,9,0,3,4,20,78,1039.593533,23,142,11,3,1,2
0,0,,1,0,0,0,77.5,61.5,0,0,0,0,0,1,1,3,19,141.1678333,4,,2,0,1,2
0,0,,1,0,0,0,,36,0,0,0,0,0,1,1,,,,,,,0,,1
0,1,,0,90,100,80,,60,54,54,30,24,0,1,1,,,,,116,,3,,1
0,1,,0,,,,20.68965517,9,0,0,0,0,0,1,1,,,,,12,,,,0
0,1,2021,0,100,100,100,100,60,60,60,30,30,0,2,2,27,375,2845.765883,65,140,7,3,2,1
0,1,2018,0,90,100,87.1,86.95652174,60,54,54,13.5,9,0,4,5,35,211,2720.38405,82,167,24,3,2,1
0,1,2022,1,100,100,100,,60,60,61,18,18,0,1,1,158,1420,14073.40722,352,12,57,3,3,1
0,1,,1,,,,55.17241379,36,0,0,0,0,0,1,1,,,,,4,,,,1
0,1,2020,1,92.5,100,85.71,100,60,55.5,56.5,28.5,27,0,3,3,36,470,2941.255217,48,120,21,3,2,1
0,1,2022,0,100,100,100,,60,60,60,6,9,0,2,2,24,191,1374.91975,50,56,9,3,2,1
1,0,2022,1,0,0,0,,22.5,0,0,0,0,0,2,3,,,,,,,0,,0
0,1,2020,1,92.5,85,100,100,60,55.5,55.5,25.5,30,0,3,3,39,175,3112.454333,89,91,32,3,2,1
